split,cutoff_height_fraction,proportion_fully_below,count_fully_below,proportion_partially_below,count_partially_below,proportion_any_part_below,count_any_part_below,total
train,0.29,0.387547,20085,0.113900,5903,0.501447,25988,51826
train,0.30,0.369911,19171,0.086289,4472,0.456200,23643,51826
train,0.31,0.312141,16177,0.121117,6277,0.433257,22454,51826
train,0.32,0.287771,14914,0.122583,6353,0.410354,21267,51826
train,0.33,0.261992,13578,0.126384,6550,0.388376,20128,51826
train,0.34,0.214796,11132,0.150156,7782,0.364952,18914,51826
train,0.35,0.179331,9294,0.134739,6983,0.314070,16277,51826
train,0.36,0.141512,7334,0.112164,5813,0.253676,13147,51826
train,0.37,0.085845,4449,0.123027,6376,0.208872,10825,51826
train,0.38,0.059333,3075,0.106530,5521,0.165863,8596,51826
train,0.39,0.043029,2230,0.081175,4207,0.124204,6437,51826
train,0.40,0.027920,1447,0.046425,2406,0.074345,3853,51826
train,0.41,0.018060,936,0.034191,1772,0.052252,2708,51826
train,0.42,0.012272,636,0.027013,1400,0.039285,2036,51826
train,0.43,0.006406,332,0.027187,1409,0.033593,1741,51826
train,0.44,0.003512,182,0.025412,1317,0.028924,1499,51826
train,0.45,0.001717,89,0.018138,940,0.019855,1029,51826
train,0.46,0.000560,29,0.009976,517,0.010535,546,51826
train,0.47,0.000116,6,0.006059,314,0.006175,320,51826
train,0.48,0.000000,0,0.004071,211,0.004071,211,51826
train,0.49,0.000000,0,0.002007,104,0.002007,104,51826
train,0.50,0.000000,0,0.000096,5,0.000096,5,51826
train,0.51,0.000000,0,0.000000,0,0.000000,0,51826
train,0.52,0.000000,0,0.000000,0,0.000000,0,51826
train,0.53,0.000000,0,0.000000,0,0.000000,0,51826
train,0.54,0.000000,0,0.000000,0,0.000000,0,51826
train,0.55,0.000000,0,0.000000,0,0.000000,0,51826
train,0.56,0.000000,0,0.000000,0,0.000000,0,51826
train,0.57,0.000000,0,0.000000,0,0.000000,0,51826
train,0.58,0.000000,0,0.000000,0,0.000000,0,51826
train,0.59,0.000000,0,0.000000,0,0.000000,0,51826
train,0.60,0.000000,0,0.000000,0,0.000000,0,51826
train,0.61,0.000000,0,0.000000,0,0.000000,0,51826
train,0.62,0.000000,0,0.000000,0,0.000000,0,51826
train,0.63,0.000000,0,0.000000,0,0.000000,0,51826
train,0.64,0.000000,0,0.000000,0,0.000000,0,51826
train,0.65,0.000000,0,0.000000,0,0.000000,0,51826
train,0.66,0.000000,0,0.000000,0,0.000000,0,51826
train,0.67,0.000000,0,0.000000,0,0.000000,0,51826
train,0.68,0.000000,0,0.000000,0,0.000000,0,51826
train,0.69,0.000000,0,0.000000,0,0.000000,0,51826
train,0.70,0.000000,0,0.000000,0,0.000000,0,51826
train,0.71,0.000000,0,0.000000,0,0.000000,0,51826
train,0.72,0.000000,0,0.000000,0,0.000000,0,51826
train,0.73,0.000000,0,0.000000,0,0.000000,0,51826
train,0.74,0.000000,0,0.000000,0,0.000000,0,51826
train,0.75,0.000000,0,0.000000,0,0.000000,0,51826
train,0.76,0.000000,0,0.000000,0,0.000000,0,51826
train,0.77,0.000000,0,0.000000,0,0.000000,0,51826
train,0.78,0.000000,0,0.000000,0,0.000000,0,51826
train,0.79,0.000000,0,0.000000,0,0.000000,0,51826
train,0.80,0.000000,0,0.000000,0,0.000000,0,51826
train,0.81,0.000000,0,0.000000,0,0.000000,0,51826
train,0.82,0.000000,0,0.000000,0,0.000000,0,51826
train,0.83,0.000000,0,0.000000,0,0.000000,0,51826
train,0.84,0.000000,0,0.000000,0,0.000000,0,51826
train,0.85,0.000000,0,0.000000,0,0.000000,0,51826
train,0.86,0.000000,0,0.000000,0,0.000000,0,51826
train,0.87,0.000000,0,0.000000,0,0.000000,0,51826
train,0.88,0.000000,0,0.000000,0,0.000000,0,51826
train,0.89,0.000000,0,0.000000,0,0.000000,0,51826
train,0.90,0.000000,0,0.000000,0,0.000000,0,51826
train,0.91,0.000000,0,0.000000,0,0.000000,0,51826
train,0.92,0.000000,0,0.000000,0,0.000000,0,51826
train,0.93,0.000000,0,0.000000,0,0.000000,0,51826
train,0.94,0.000000,0,0.000000,0,0.000000,0,51826
train,0.95,0.000000,0,0.000000,0,0.000000,0,51826
train,0.96,0.000000,0,0.000000,0,0.000000,0,51826
train,0.97,0.000000,0,0.000000,0,0.000000,0,51826
train,0.98,0.000000,0,0.000000,0,0.000000,0,51826
train,0.99,0.000000,0,0.000000,0,0.000000,0,51826
train,1.00,0.000000,0,0.000000,0,0.000000,0,51826
val,0.00,1.000000,26414,0.000000,0,1.000000,26414,26414
val,0.01,0.995911,26306,0.004089,108,1.000000,26414,26414
val,0.02,0.995116,26285,0.004884,129,1.000000,26414,26414
val,0.03,0.994170,26260,0.005792,153,0.999962,26413,26414
val,0.04,0.993450,26241,0.006247,165,0.999697,26406,26414
val,0.05,0.992731,26222,0.006512,172,0.999243,26394,26414
val,0.06,0.991709,26195,0.007080,187,0.998789,26382,26414
val,0.07,0.976187,25785,0.022147,585,0.998334,26370,26414
val,0.08,0.961611,25400,0.036269,958,0.997880,26358,26414
val,0.09,0.958128,25308,0.038805,1025,0.996933,26333,26414
val,0.10,0.955024,25226,0.040774,1077,0.995798,26303,26414
val,0.11,0.953510,25186,0.041645,1100,0.995154,26286,26414
val,0.12,0.951465,25132,0.042894,1133,0.994359,26265,26414
val,0.13,0.938177,24781,0.055387,1463,0.993564,26244,26414
val,0.14,0.927236,24492,0.065344,1726,0.992580,26218,26414
val,0.15,0.905164,23909,0.072462,1914,0.977626,25823,26414
val,0.16,0.900583,23788,0.064133,1694,0.964716,25482,26414
val,0.17,0.897100,23696,0.061899,1635,0.958999,25331,26414
val,0.18,0.894488,23627,0.061861,1634,0.956349,25261,26414
val,0.19,0.892406,23572,0.060612,1601,0.953017,25173,26414
val,0.20,0.888885,23479,0.059779,1579,0.948664,25058,26414
val,0.21,0.884152,23354,0.053002,1400,0.937155,24754,26414
val,0.22,0.881048,23272,0.027978,739,0.909026,24011,26414
val,0.23,0.877981,23191,0.026463,699,0.904445,23890,26414
val,0.24,0.873287,23067,0.026425,698,0.899712,23765,26414
val,0.25,0.869615,22970,0.026804,708,0.896419,23678,26414
val,0.26,0.865072,22850,0.028659,757,0.893731,23607,26414
val,0.27,0.860112,22719,0.030628,809,0.890740,23528,26414
val,0.28,0.853487,22544,0.031953,844,0.885440,23388,26414
val,0.29,0.842848,22263,0.037669,995,0.880518,23258,26414
val,0.30,0.835958,22081,0.040206,1062,0.876164,23143,26414
val,0.31,0.823389,21749,0.048611,1284,0.872000,23033,26414
val,0.32,0.769251,20319,0.097183,2567,0.866434,22886,26414
val,0.33,0.751609,19853,0.109677,2897,0.861286,22750,26414
val,0.34,0.734951,19413,0.119141,3147,0.854093,22560,26414
val,0.35,0.718028,18966,0.121375,3206,0.839403,22172,26414
val,0.36,0.698001,18437,0.094609,2499,0.792610,20936,26414
val,0.37,0.669645,17688,0.104755,2767,0.774400,20455,26414
val,0.38,0.595555,15731,0.165064,4360,0.760619,20091,26414
val,0.39,0.490081,12945,0.249337,6586,0.739418,19531,26414
val,0.40,0.424737,11219,0.288446,7619,0.713182,18838,26414
val,0.41,0.339214,8960,0.344855,9109,0.684069,18069,26414
val,0.42,0.232717,6147,0.303513,8017,0.536231,14164,26414
val,0.43,0.166995,4411,0.267320,7061,0.434315,11472,26414
val,0.44,0.122284,3230,0.183577,4849,0.305861,8079,26414
val,0.45,0.071212,1881,0.123722,3268,0.194935,5149,26414
val,0.46,0.034224,904,0.111191,2937,0.145415,3841,26414
val,0.47,0.008821,233,0.097903,2586,0.106724,2819,26414
val,0.48,0.003483,92,0.049898,1318,0.053381,1410,26414
val,0.49,0.000984,26,0.013402,354,0.014386,380,26414
val,0.50,0.000303,8,0.004202,111,0.004505,119,26414
val,0.51,0.000114,3,0.001439,38,0.001552,41,26414
val,0.52,0.000000,0,0.000454,12,0.000454,12,26414
val,0.53,0.000000,0,0.000189,5,0.000189,5,26414
val,0.54,0.000000,0,0.000000,0,0.000000,0,26414
val,0.55,0.000000,0,0.000000,0,0.000000,0,26414
val,0.56,0.000000,0,0.000000,0,0.000000,0,26414
val,0.57,0.000000,0,0.000000,0,0.000000,0,26414
val,0.58,0.000000,0,0.000000,0,0.000000,0,26414
val,0.59,0.000000,0,0.000000,0,0.000000,0,26414
val,0.60,0.000000,0,0.000000,0,0.000000,0,26414
val,0.61,0.000000,0,0.000000,0,0.000000,0,26414
val,0.62,0.000000,0,0.000000,0,0.000000,0,26414
val,0.63,0.000000,0,0.000000,0,0.000000,0,26414
val,0.64,0.000000,0,0.000000,0,0.000000,0,26414
val,0.65,0.000000,0,0.000000,0,0.000000,0,26414
val,0.66,0.000000,0,0.000000,0,0.000000,0,26414
val,0.67,0.000000,0,0.000000,0,0.000000,0,26414
val,0.68,0.000000,0,0.000000,0,0.000000,0,26414
val,0.69,0.000000,0,0.000000,0,0.000000,0,26414
val,0.70,0.000000,0,0.000000,0,0.000000,0,26414
val,0.71,0.000000,0,0.000000,0,0.000000,0,26414
val,0.72,0.000000,0,0.000000,0,0.000000,0,26414
val,0.73,0.000000,0,0.000000,0,0.000000,0,26414
val,0.74,0.000000,0,0.000000,0,0.000000,0,26414
val,0.75,0.000000,0,0.000000,0,0.000000,0,26414
val,0.76,0.000000,0,0.000000,0,0.000000,0,26414
val,0.77,0.000000,0,0.000000,0,0.000000,0,26414
val,0.78,0.000000,0,0.000000,0,0.000000,0,26414
val,0.79,0.000000,0,0.000000,0,0.000000,0,26414
val,0.80,0.000000,0,0.000000,0,0.000000,0,26414
val,0.81,0.000000,0,0.000000,0,0.000000,0,26414
val,0.82,0.000000,0,0.000000,0,0.000000,0,26414
val,0.83,0.000000,0,0.000000,0,0.000000,0,26414
val,0.84,0.000000,0,0.000000,0,0.000000,0,26414
val,0.85,0.000000,0,0.000000,0,0.000000,0,26414
val,0.86,0.000000,0,0.000000,0,0.000000,0,26414
val,0.87,0.000000,0,0.000000,0,0.000000,0,26414
val,0.88,0.000000,0,0.000000,0,0.000000,0,26414
val,0.89,0.000000,0,0.000000,0,0.000000,0,26414
val,0.90,0.000000,0,0.000000,0,0.000000,0,26414
val,0.91,0.000000,0,0.000000,0,0.000000,0,26414
val,0.92,0.000000,0,0.000000,0,0.000000,0,26414
val,0.93,0.000000,0,0.000000,0,0.000000,0,26414
val,0.94,0.000000,0,0.000000,0,0.000000,0,26414
val,0.95,0.000000,0,0.000000,0,0.000000,0,26414
val,0.96,0.000000,0,0.000000,0,0.000000,0,26414
val,0.97,0.000000,0,0.000000,0,0.000000,0,26414
val,0.98,0.000000,0,0.000000,0,0.000000,0,26414
val,0.99,0.000000,0,0.000000,0,0.000000,0,26414
val,1.00,0.000000,0,0.000000,0,0.000000,0,26414
test,0.00,1.000000,31235,0.000000,0,1.000000,31235,31235
test,0.01,0.991964,30984,0.008036,251,1.000000,31235,31235
test,0.02,0.989499,30907,0.010309,322,0.999808,31229,31235
test,0.03,0.977621,30536,0.021674,677,0.999296,31213,31235
test,0.04,0.959437,29968,0.039155,1223,0.998591,31191,31235
test,0.05,0.956747,29884,0.040884,1277,0.997631,31161,31235
test,0.06,0.952681,29757,0.043637,1363,0.996318,31120,31235
test,0.07,0.950024,29674,0.045078,1408,0.995102,31082,31235
test,0.08,0.947271,29588,0.046134,1441,0.993405,31029,31235
test,0.09,0.944998,29517,0.045782,1430,0.990780,30947,31235
test,0.10,0.942885,29451,0.029230,913,0.972115,30364,31235
test,0.11,0.940291,29370,0.022891,715,0.963182,30085,31235
test,0.12,0.931167,29085,0.027021,844,0.958188,29929,31235
test,0.13,0.926653,28944,0.029166,911,0.955819,29855,31235
test,0.14,0.922427,28812,0.029038,907,0.951465,29719,31235
test,0.15,0.918521,28690,0.029358,917,0.947879,29607,31235
test,0.16,0.914711,28571,0.030991,968,0.945702,29539,31235
test,0.17,0.909525,28409,0.032304,1009,0.941828,29418,31235
test,0.18,0.905042,28269,0.031215,975,0.936257,29244,31235
test,0.19,0.899856,28107,0.027309,853,0.927165,28960,31235
test,0.20,0.893389,27905,0.029486,921,0.922875,28826,31235
test,0.21,0.886858,27701,0.031599,987,0.918457,28688,31235
test,0.22,0.879750,27479,0.033168,1036,0.912918,28515,31235
test,0.23,0.869601,27162,0.038002,1187,0.907604,28349,31235
test,0.24,0.854362,26686,0.047223,1475,0.901585,28161,31235
test,0.25,0.837074,26146,0.058108,1815,0.895182,27961,31235
test,0.26,0.814951,25455,0.074372,2323,0.889323,27778,31235
test,0.27,0.798527,24942,0.083080,2595,0.881607,27537,31235
test,0.28,0.782135,24430,0.090123,2815,0.872259,27245,31235
test,0.29,0.761774,23794,0.100464,3138,0.862238,26932,31235
test,0.30,0.741028,23146,0.105651,3300,0.846678,26446,31235
test,0.31,0.638707,19950,0.187866,5868,0.826573,25818,31235
test,0.32,0.594333,18564,0.199808,6241,0.794141,24805,31235
test,0.33,0.555947,17365,0.203970,6371,0.759917,23736,31235
test,0.34,0.503442,15725,0.175476,5481,0.678918,21206,31235
test,0.35,0.441140,13779,0.150792,4710,0.591932,18489,31235
test,0.36,0.344261,10753,0.196766,6146,0.541028,16899,31235
test,0.37,0.166608,5204,0.275652,8610,0.442260,13814,31235
test,0.38,0.093389,2917,0.232175,7252,0.325564,10169,31235
test,0.39,0.046230,1444,0.148647,4643,0.194878,6087,31235
test,0.40,0.024300,759,0.074660,2332,0.098960,3091,31235
test,0.41,0.013959,436,0.035793,1118,0.049752,1554,31235
test,0.42,0.007364,230,0.017256,539,0.024620,769,31235
test,0.43,0.002689,84,0.012486,390,0.015175,474,31235
test,0.44,0.000288,9,0.008356,261,0.008644,270,31235
test,0.45,0.000032,1,0.003138,98,0.003170,99,31235
test,0.46,0.000000,0,0.000544,17,0.000544,17,31235
test,0.47,0.000000,0,0.000000,0,0.000000,0,31235
test,0.48,0.000000,0,0.000000,0,0.000000,0,31235
test,0.49,0.000000,0,0.000000,0,0.000000,0,31235
test,0.50,0.000000,0,0.000000,0,0.000000,0,31235
test,0.51,0.000000,0,0.000000,0,0.000000,0,31235
test,0.52,0.000000,0,0.000000,0,0.000000,0,31235
test,0.53,0.000000,0,0.000000,0,0.000000,0,31235
test,0.54,0.000000,0,0.000000,0,0.000000,0,31235
test,0.55,0.000000,0,0.000000,0,0.000000,0,31235
test,0.56,0.000000,0,0.000000,0,0.000000,0,31235
test,0.57,0.000000,0,0.000000,0,0.000000,0,31235
test,0.58,0.000000,0,0.000000,0,0.000000,0,31235
test,0.59,0.000000,0,0.000000,0,0.000000,0,31235
test,0.60,0.000000,0,0.000000,0,0.000000,0,31235
test,0.61,0.000000,0,0.000000,0,0.000000,0,31235
test,0.62,0.000000,0,0.000000,0,0.000000,0,31235
test,0.63,0.000000,0,0.000000,0,0.000000,0,31235
test,0.64,0.000000,0,0.000000,0,0.000000,0,31235
test,0.65,0.000000,0,0.000000,0,0.000000,0,31235
test,0.66,0.000000,0,0.000000,0,0.000000,0,31235
test,0.67,0.000000,0,0.000000,0,0.000000,0,31235
test,0.68,0.000000,0,0.000000,0,0.000000,0,31235
test,0.69,0.000000,0,0.000000,0,0.000000,0,31235
test,0.70,0.000000,0,0.000000,0,0.000000,0,31235
test,0.71,0.000000,0,0.000000,0,0.000000,0,31235
test,0.72,0.000000,0,0.000000,0,0.000000,0,31235
test,0.73,0.000000,0,0.000000,0,0.000000,0,31235
test,0.74,0.000000,0,0.000000,0,0.000000,0,31235
test,0.75,0.000000,0,0.000000,0,0.000000,0,31235
test,0.76,0.000000,0,0.000000,0,0.000000,0,31235
test,0.77,0.000000,0,0.000000,0,0.000000,0,31235
test,0.78,0.000000,0,0.000000,0,0.000000,0,31235
test,0.79,0.000000,0,0.000000,0,0.000000,0,31235
test,0.80,0.000000,0,0.000000,0,0.000000,0,31235
test,0.81,0.000000,0,0.000000,0,0.000000,0,31235
test,0.82,0.000000,0,0.000000,0,0.000000,0,31235
test,0.83,0.000000,0,0.000000,0,0.000000,0,31235
test,0.84,0.000000,0,0.000000,0,0.000000,0,31235
test,0.85,0.000000,0,0.000000,0,0.000000,0,31235
test,0.86,0.000000,0,0.000000,0,0.000000,0,31235
test,0.87,0.000000,0,0.000000,0,0.000000,0,31235
test,0.88,0.000000,0,0.000000,0,0.000000,0,31235
test,0.89,0.000000,0,0.000000,0,0.000000,0,31235
test,0.90,0.000000,0,0.000000,0,0.000000,0,31235
test,0.91,0.000000,0,0.000000,0,0.000000,0,31235
test,0.92,0.000000,0,0.000000,0,0.000000,0,31235
test,0.93,0.000000,0,0.000000,0,0.000000,0,31235
test,0.94,0.000000,0,0.000000,0,0.000000,0,31235
test,0.95,0.000000,0,0.000000,0,0.000000,0,31235
test,0.96,0.000000,0,0.000000,0,0.000000,0,31235
test,0.97,0.000000,0,0.000000,0,0.000000,0,31235
test,0.98,0.000000,0,0.000000,0,0.000000,0,31235
test,0.99,0.000000,0,0.000000,0,0.000000,0,31235
test,1.00,0.000000,0,0.000000,0,0.000000,0,31235
aggregate,0.00,1.000000,109475,0.000000,0,1.000000,109475,109475
aggregate,0.01,0.994254,108846,0.005746,629,1.000000,109475,109475
aggregate,0.02,0.991724,108569,0.008212,899,0.999936,109468,109475
aggregate,0.03,0.986728,108022,0.013026,1426,0.999753,109448,109475
aggregate,0.04,0.980078,107294,0.019274,2110,0.999351,109404,109475
aggregate,0.05,0.976753,106930,0.021950,2403,0.998703,109333,109475
aggregate,0.06,0.974560,106690,0.023412,2563,0.997972,109253,109475
aggregate,0.07,0.969281,106112,0.027879,3052,0.997159,109164,109475
aggregate,0.08,0.964366,105574,0.031852,3487,0.996218,109061,109475
aggregate,0.09,0.961754,105288,0.032966,3609,0.994720,108897,109475
aggregate,0.10,0.956940,104761,0.031541,3453,0.988481,108214,109475
aggregate,0.11,0.952565,104282,0.032364,3543,0.984928,107825,109475
aggregate,0.12,0.946609,103630,0.032528,3561,0.979137,107191,109475
aggregate,0.13,0.930870,101907,0.046193,5057,0.977063,106964,109475
aggregate,0.14,0.896881,98186,0.077853,8523,0.974734,106709,109475
aggregate,0.15,0.880667,96411,0.087673,9598,0.968340,106009,109475
aggregate,0.16,0.872373,95503,0.090623,9921,0.962996,105424,109475
aggregate,0.17,0.830756,90947,0.126047,13799,0.956803,104746,109475
aggregate,0.18,0.808815,88545,0.142918,15646,0.951733,104191,109475
aggregate,0.19,0.767435,84015,0.178443,19535,0.945878,103550,109475
aggregate,0.20,0.749742,82078,0.192062,21026,0.941804,103104,109475
aggregate,0.21,0.743183,81360,0.192565,21081,0.935748,102441,109475
aggregate,0.22,0.734442,80403,0.183850,20127,0.918292,100530,109475
aggregate,0.23,0.702672,76925,0.175556,19219,0.878228,96144,109475
aggregate,0.24,0.679580,74397,0.147148,16109,0.826728,90506,109475
aggregate,0.25,0.668372,73170,0.111414,12197,0.779785,85367,109475
aggregate,0.26,0.650806,71247,0.121169,13265,0.771975,84512,109475
aggregate,0.27,0.634428,69454,0.130788,14318,0.765216,83772,109475
aggregate,0.28,0.621402,68028,0.099182,10858,0.720585,78886,109475
aggregate,0.29,0.604174,66142,0.091674,10036,0.695848,76178,109475
aggregate,0.30,0.588244,64398,0.080694,8834,0.668938,73232,109475
aggregate,0.31,0.528669,57876,0.122667,13429,0.651336,71305,109475
aggregate,0.32,0.491409,53797,0.138488,15161,0.629897,68958,109475
aggregate,0.33,0.463996,50796,0.144490,15818,0.608486,66614,109475
aggregate,0.34,0.422654,46270,0.149897,16410,0.572551,62680,109475
aggregate,0.35,0.384005,42039,0.136095,14899,0.520100,56938,109475
aggregate,0.36,0.333629,36524,0.132067,14458,0.465695,50982,109475
aggregate,0.37,0.249747,27341,0.162165,17753,0.411911,45094,109475
aggregate,0.38,0.198429,21723,0.156501,17133,0.354930,38856,109475
aggregate,0.39,0.151806,16619,0.141000,15436,0.292807,32055,109475
aggregate,0.40,0.122631,13425,0.112875,12357,0.235506,25782,109475
aggregate,0.41,0.094378,10332,0.109605,11999,0.203983,22331,109475
aggregate,0.42,0.064060,7013,0.090943,9956,0.155003,16969,109475
aggregate,0.43,0.044092,4827,0.080932,8860,0.125024,13687,109475
aggregate,0.44,0.031249,3421,0.058707,6427,0.089957,9848,109475
aggregate,0.45,0.018004,1971,0.039333,4306,0.057337,6277,109475
aggregate,0.46,0.008522,933,0.031706,3471,0.040228,4404,109475
aggregate,0.47,0.002183,239,0.026490,2900,0.028673,3139,109475
aggregate,0.48,0.000840,92,0.013967,1529,0.014807,1621,109475
aggregate,0.49,0.000237,26,0.004184,458,0.004421,484,109475
aggregate,0.50,0.000073,8,0.001060,116,0.001133,124,109475
aggregate,0.51,0.000027,3,0.000347,38,0.000375,41,109475
aggregate,0.52,0.000000,0,0.000110,12,0.000110,12,109475
aggregate,0.53,0.000000,0,0.000046,5,0.000046,5,109475
aggregate,0.54,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.55,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.56,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.57,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.58,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.59,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.60,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.61,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.62,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.63,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.64,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.65,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.66,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.67,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.68,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.69,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.70,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.71,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.72,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.73,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.74,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.75,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.76,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.77,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.78,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.79,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.80,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.81,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.82,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.83,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.84,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.85,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.86,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.87,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.88,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.89,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.90,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.91,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.92,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.93,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.94,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.95,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.96,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.97,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.98,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,0.99,0.000000,0,0.000000,0,0.000000,0,109475
aggregate,1.00,0.000000,0,0.000000,0,0.000000,0,109475
